date,股票代码,open,close,high,low,volume,amount,amplitude_pct,chg_pct,chg_amt,turnover_pct,ma5,ma20,ema12,ema26,diff,dea,macd,rsi14,bb_upper,bb_mid,bb_lower,bb_width
2020-01-02,002837,3.48,3.53,3.55,3.46,23162,40303849.0,2.59,1.73,0.06,1.52,,,3.53,3.53,0.0,0.0,0.0,,,,,
2020-01-03,002837,3.53,3.6,3.61,3.52,23850,41943687.0,2.55,1.98,0.07,1.57,,,3.5407692307692304,3.5351851851851848,0.0056,0.0011,0.0089,,,,,
2020-01-06,002837,3.57,3.65,3.71,3.53,37748,67535847.0,5.0,1.39,0.05,2.48,,,3.557573964497041,3.543689986282579,0.0139,0.0037,0.0204,,,,,
2020-01-07,002837,3.64,3.67,3.7,3.62,23854,42803841.0,2.19,0.55,0.02,1.57,,,3.5748702776513426,3.5530462835949805,0.0218,0.0073,0.029,,,,,
2020-01-08,002837,3.64,3.73,3.81,3.64,44399,81637819.0,4.63,1.63,0.06,2.92,3.636,,3.598736388781905,3.566153966291649,0.0326,0.0124,0.0405,,,,,
2020-01-09,002837,3.77,3.93,4.12,3.71,73349,139079219.0,10.99,5.36,0.2,4.82,3.716,,3.6497000212769968,3.5931055243441197,0.0566,0.0212,0.0708,,,,,
2020-01-10,002837,3.95,3.9,3.98,3.78,56169,106348308.0,5.09,-0.76,-0.03,3.69,3.776,,3.688207710311305,3.615838448466777,0.0724,0.0314,0.0819,96.99,,,,
2020-01-13,002837,3.95,4.34,4.34,3.92,134803,271612768.0,10.77,11.28,0.44,8.85,3.914,,3.788483447186489,3.6694800448766456,0.119,0.049,0.1401,97.96,,,,
2020-01-14,002837,4.79,4.83,4.83,4.62,86288,196294124.0,4.84,11.29,0.49,5.67,4.146,,3.948716763003952,3.755444485996894,0.1933,0.0778,0.2309,98.53,,,,
2020-01-15,002837,5.13,5.37,5.37,4.99,234197,575042176.0,7.87,11.18,0.54,15.38,4.474,,4.167375722541806,3.875041190737865,0.2923,0.1207,0.3432,98.89,,,,
2020-01-16,002837,5.55,5.96,5.96,5.55,133054,361894640.0,7.64,10.99,0.59,8.74,4.88,,4.4431640729199895,4.029482584016542,0.4137,0.1793,0.4687,99.14,,,,
2020-01-17,002837,6.23,6.61,6.61,5.93,288679,843156528.0,11.41,10.91,0.65,18.96,5.422000000000001,,4.776523446316914,4.220632022237538,0.5559,0.2546,0.6025,99.33,,,,
2020-01-20,002837,6.56,6.99,7.3,6.21,295167,929043328.0,16.49,5.75,0.38,19.39,5.952,,5.117058300729697,4.425770390960683,0.6913,0.342,0.6987,99.4,,,,
2020-01-21,002837,6.98,6.67,7.6,6.6,294170,955157440.0,14.31,-4.58,-0.32,19.32,6.32,,5.355972408309744,4.592009621259892,0.764,0.4264,0.6752,89.83,,,,
2020-01-22,002837,5.95,5.96,6.45,5.95,267153,759486048.0,7.5,-10.64,-0.71,17.55,6.438,,5.448899730108245,4.693342241907308,0.7556,0.4922,0.5267,73.02,,,,
2020-01-23,002837,6.33,6.2,6.56,6.02,226917,667003104.0,9.06,4.03,0.24,14.9,6.486,,5.5644536177839,4.804946520284544,0.7595,0.5457,0.4277,74.74,,,,
2020-02-03,002837,5.53,5.53,5.53,5.53,5443,14146357.0,0.0,-10.81,-0.67,0.36,6.2700000000000005,,5.559153061201761,4.858654185448652,0.7005,0.5766,0.2477,62.71,,,,
2020-02-04,002837,4.98,5.67,5.82,4.98,222263,574450736.0,15.19,2.53,0.14,14.6,6.006,,5.57620643640149,4.918753875415418,0.6575,0.5928,0.1293,64.02,,,,
2020-02-05,002837,5.57,5.66,6.01,5.49,222642,597389392.0,9.17,-0.18,-0.01,14.62,5.804,,5.589097753878184,4.973660995755017,0.6154,0.5973,0.0362,63.84,,,,
2020-02-06,002837,5.37,6.09,6.27,5.37,269620,739717808.0,15.9,7.6,0.43,17.71,5.83,5.0945,5.666159637896925,5.056352773847238,0.6098,0.5998,0.02,67.84,7.4218,5.0945,2.7672,0.9137
2020-02-07,002837,6.0,6.36,6.55,5.99,211873,620800240.0,9.2,4.43,0.27,13.92,5.862,5.236,5.772904308989706,5.152919235043739,0.62,0.6039,0.0323,70.07,7.5091,5.236,2.9629,0.8683
2020-02-10,002837,6.66,6.04,6.66,5.86,168848,483987248.0,12.58,-5.03,-0.32,11.09,5.964,5.3580000000000005,5.813995953760521,5.218628921336795,0.5954,0.6022,-0.0136,64.36,7.5262,5.358,3.1898,0.8093
2020-02-11,002837,5.93,5.77,6.19,5.72,129239,358901184.0,7.78,-4.47,-0.27,8.49,5.984,5.464,5.807227345489671,5.259471223459995,0.5478,0.5913,-0.087,59.93,7.4905,5.464,3.4375,0.7418
2020-02-12,002837,5.83,6.1,6.15,5.68,119268,332691904.0,8.15,5.72,0.33,7.83,6.072,5.5855,5.8522692923374136,5.3217326143148105,0.5305,0.5791,-0.0972,63.26,7.4523,5.5855,3.7187,0.6684
2020-02-13,002837,6.04,5.81,6.3,5.8,107628,300353664.0,8.2,-4.75,-0.29,7.07,6.016,5.6895,5.845766324285504,5.35790056881001,0.4879,0.5609,-0.146,58.64,7.3518,5.6895,4.0272,0.5843
2020-02-14,002837,5.88,5.74,5.99,5.63,87969,238528908.0,6.2,-1.2,-0.07,5.78,5.892,5.779999999999999,5.829494582087734,5.386204230379639,0.4433,0.5374,-0.1881,57.55,7.2332,5.78,4.3268,0.5028
2020-02-17,002837,5.88,6.37,6.37,5.88,112753,326790000.0,8.54,10.98,0.63,7.41,5.958,5.903499999999999,5.9126492617665445,5.459077991092259,0.4536,0.5206,-0.1341,64.04,7.0924,5.9035,4.7146,0.4028
2020-02-18,002837,7.06,7.06,7.06,6.93,74680,242924538.0,2.04,10.83,0.69,4.91,6.215999999999999,6.0395,6.089164759956307,5.577664806566906,0.5115,0.5188,-0.0146,69.53,7.0969,6.0395,4.9821,0.3502
2020-02-19,002837,7.4,7.82,7.82,7.06,169755,585244624.0,10.76,10.76,0.76,11.15,6.56,6.189,6.355447104578413,5.743763709784172,0.6117,0.5374,0.1486,74.21,7.3596,6.189,5.0184,0.3783
2020-02-20,002837,8.1,8.65,8.65,8.08,108599,420080640.0,7.29,10.61,0.83,7.13,7.128,6.353,6.70845524233558,5.959040472022382,0.7494,0.5798,0.3393,78.15,7.8826,6.353,4.8234,0.4815
2020-02-21,002837,9.05,8.79,9.47,7.86,203869,802468224.0,18.61,1.62,0.14,13.39,7.7379999999999995,6.4944999999999995,7.028692897360875,6.168741177798501,0.86,0.6358,0.4483,78.74,8.3429,6.4945,4.6461,0.5692
2020-02-24,002837,8.45,9.72,9.72,8.34,138800,576834992.0,15.7,10.58,0.93,9.12,8.408,6.65,7.442740143920741,6.431797386850464,1.0109,0.7108,0.6002,82.18,8.9734,6.65,4.3266,0.6988
2020-02-25,002837,9.5,10.75,10.75,9.19,158580,727166144.0,16.05,10.6,1.03,10.42,9.145999999999999,6.837999999999999,7.951549352548319,6.751664247083763,1.1999,0.8086,0.7825,85.07,9.7698,6.838,3.9062,0.8575
2020-02-26,002837,10.43,10.68,11.72,10.29,158602,783114704.0,13.3,-0.65,-0.07,10.42,9.718,7.038500000000001,8.371310990617808,7.042652080633114,1.3287,0.9126,0.832,84.07,10.4121,7.0385,3.6649,0.9586
2020-02-27,002837,10.55,10.69,11.32,10.11,120915,582728064.0,11.33,0.09,0.01,7.94,10.126,7.275,8.728032376676605,7.312826000586217,1.4152,1.0132,0.8041,84.1,10.9617,7.275,3.5883,1.0135
2020-02-28,002837,9.8,9.57,10.2,9.57,111827,489133776.0,5.89,-10.48,-1.12,7.34,10.282,7.4434999999999985,8.857565857187897,7.480024074616867,1.3775,1.086,0.583,69.11,11.2251,7.4435,3.6619,1.0161
2020-03-02,002837,9.62,9.96,10.37,9.15,95076,424500832.0,12.75,4.08,0.39,6.24,10.330000000000002,7.664999999999999,9.02717110992822,7.663725995015617,1.3634,1.1415,0.4439,71.04,11.491,7.665,3.839,0.9983
2020-03-03,002837,10.55,11.01,11.01,10.27,106850,521820816.0,7.43,10.54,1.05,7.02,10.382000000000001,7.9319999999999995,9.332221708400802,7.911598143532978,1.4206,1.1973,0.4466,75.5,11.9063,7.932,3.9577,1.0021
2020-03-04,002837,10.9,10.51,11.66,10.37,120232,597203456.0,11.72,-4.54,-0.5,7.9,10.348,8.1745,9.513418368646832,8.104072355123128,1.4093,1.2397,0.3392,69.98,12.1565,8.1745,4.1925,0.9742
2020-03-05,002837,11.07,10.67,11.57,10.39,107142,529742816.0,11.23,1.52,0.16,7.04,10.344,8.4035,9.691354004239626,8.294141069558451,1.3972,1.2712,0.252,70.72,12.4064,8.4035,4.4006,0.9527
2020-03-06,002837,10.15,10.73,10.9,9.99,75824,362637472.0,8.53,0.56,0.06,4.98,10.576,8.622,9.851145695895068,8.474575064405974,1.3766,1.2923,0.1685,71.0,12.6319,8.622,4.6121,0.9302
2020-03-09,002837,10.67,10.75,11.72,10.25,109008,541699424.0,13.7,0.19,0.02,7.16,10.734,8.8575,9.989430973449673,8.64312505963516,1.3463,1.3031,0.0864,71.11,12.7856,8.8575,4.9294,0.887
2020-03-10,002837,10.64,11.53,11.6,9.73,107121,522134688.0,17.4,7.26,0.78,7.04,10.838,9.145500000000002,10.226441592918954,8.856967647810333,1.3695,1.3164,0.1062,74.82,12.9691,9.1455,5.3219,0.8362
2020-03-11,002837,11.54,10.92,12.06,10.79,102973,527292656.0,11.01,-5.29,-0.61,6.76,10.92,9.3865,10.333142886316038,9.009784859083641,1.3234,1.3178,0.0112,67.51,13.0145,9.3865,5.7585,0.773
2020-03-12,002837,10.32,10.13,10.85,9.87,64986,301811024.0,8.97,-7.23,-0.79,4.27,10.812000000000001,9.6025,10.301890134575109,9.09276375841078,1.2091,1.296,-0.1738,59.41,12.8472,9.6025,6.3578,0.6758
2020-03-13,002837,9.27,10.45,10.55,9.17,71081,323230416.0,13.62,3.16,0.32,4.67,10.756,9.838,10.324676267717399,9.193299776306278,1.1314,1.2631,-0.2635,61.43,12.5705,9.838,7.1055,0.5555
2020-03-16,002837,10.76,9.96,10.78,9.76,48992,229464725.0,9.76,-4.69,-0.49,3.22,10.598,10.0175,10.268572226530107,9.250092385468776,1.0185,1.2142,-0.3914,56.78,12.239,10.0175,7.796,0.4435
2020-03-17,002837,10.08,10.02,10.32,9.15,45559,201435622.0,11.75,0.6,0.06,2.99,10.296000000000001,10.1655,10.230330345525475,9.307122579137756,0.9232,1.156,-0.4656,57.2,11.9256,10.1655,8.4054,0.3463
2020-03-18,002837,10.14,9.52,10.64,9.5,63256,288148224.0,11.38,-4.99,-0.5,4.15,10.016,10.250499999999999,10.121048753906171,9.322891276979403,0.7982,1.0844,-0.5725,52.54,11.6831,10.2505,8.8179,0.2795
2020-03-19,002837,9.53,9.57,9.72,9.17,64047,274365504.0,5.78,0.53,0.05,4.21,9.904,10.2965,10.036272022535991,9.341195626832782,0.6951,1.0066,-0.623,52.95,11.5709,10.2965,9.0221,0.2475
2020-03-20,002837,9.85,9.31,9.85,9.15,44952,191391599.0,7.31,-2.72,-0.26,2.95,9.676,10.322500000000002,9.924537865222762,9.338884839659984,0.5857,0.9224,-0.6734,50.49,11.4896,10.3225,9.1554,0.2261
2020-03-23,002837,9.07,8.66,9.42,8.54,47151,192395814.0,9.45,-6.98,-0.65,3.1,9.416,10.2695,9.729993578265413,9.288597073759245,0.4414,0.8262,-0.7696,44.87,11.6227,10.2695,8.9163,0.2635
2020-03-24,002837,9.02,8.73,9.18,8.37,46609,186204514.0,9.35,0.81,0.07,3.06,9.158000000000001,10.1685,9.576148412378426,9.247219512740042,0.3289,0.7267,-0.7956,45.58,11.6578,10.1685,8.6792,0.2929
2020-03-25,002837,9.03,9.65,9.65,8.97,55872,240663122.0,7.79,10.54,0.92,3.67,9.184000000000001,10.117,9.587510195089438,9.277055104388928,0.3105,0.6435,-0.666,53.89,11.6032,10.117,8.6308,0.2938
2020-03-26,002837,9.77,9.22,9.93,9.06,67755,290060832.0,9.02,-4.46,-0.43,4.45,9.114,10.0435,9.53097016507568,9.272828800360118,0.2581,0.5664,-0.6165,50.04,11.5543,10.0435,8.5327,0.3009
2020-03-27,002837,9.36,8.8,9.49,8.8,37278,152093122.0,7.48,-4.56,-0.42,2.45,9.012,10.005,9.418513216602499,9.237804444777888,0.1807,0.4893,-0.6171,46.55,11.5991,10.005,8.4109,0.3187
2020-03-30,002837,8.57,7.87,8.7,7.86,85870,311815248.0,9.55,-10.57,-0.93,5.64,8.854000000000001,9.900500000000001,9.180280414048267,9.136485597016563,0.0438,0.4002,-0.7128,39.9,11.7467,9.9005,8.0543,0.373
2020-03-31,002837,8.03,8.4,8.68,8.0,65979,253296916.0,8.64,6.73,0.53,4.33,8.788,9.77,9.060237273425457,9.08193110834867,-0.0217,0.3158,-0.675,44.74,11.6527,9.77,7.8873,0.3854
2020-04-01,002837,8.52,8.2,8.64,8.18,47656,181811894.0,5.48,-2.38,-0.2,3.13,8.498000000000001,9.6545,8.927893077513849,9.01660287810062,-0.0887,0.2349,-0.6472,43.32,11.6229,9.6545,7.6861,0.4078
2020-04-02,002837,8.38,8.77,8.92,8.14,62064,240747051.0,9.51,6.95,0.57,4.08,8.408000000000001,9.5595,8.90360183481941,8.998335998241314,-0.0947,0.169,-0.5274,48.35,11.506,9.5595,7.613,0.4072
2020-04-03,002837,8.87,8.41,8.88,8.34,44929,175092414.0,6.16,-4.1,-0.36,2.95,8.33,9.4435,8.827663091001039,8.954755553927143,-0.1271,0.1098,-0.4737,45.6,11.3736,9.4435,7.5134,0.4088
2020-04-07,002837,8.66,8.75,8.88,8.6,41572,165537171.0,3.33,4.04,0.34,2.73,8.506,9.3435,8.815714923154726,8.939588475858466,-0.1239,0.063,-0.3738,48.57,11.1982,9.3435,7.4888,0.397
2020-04-08,002837,8.62,8.68,8.98,8.59,33660,133819052.0,4.46,-0.8,-0.07,2.21,8.562,9.201,8.794835704207845,8.92035969986895,-0.1255,0.0253,-0.3017,47.99,10.7792,9.201,7.6228,0.343
2020-04-09,002837,8.81,8.88,8.91,8.62,32162,128721262.0,3.34,2.3,0.2,2.11,8.698,9.099,8.807937903560484,8.91737009247125,-0.1094,-0.0016,-0.2156,49.84,10.4696,9.099,7.7284,0.3013
