date,股票代码,open,close,high,low,volume,amount,amplitude_pct,chg_pct,chg_amt,turnover_pct
2020-01-02,002837,3.48,3.53,3.55,3.46,23162,40303849.0,2.59,1.73,0.06,1.52
2020-01-03,002837,3.53,3.6,3.61,3.52,23850,41943687.0,2.55,1.98,0.07,1.57
2020-01-06,002837,3.57,3.65,3.71,3.53,37748,67535847.0,5.0,1.39,0.05,2.48
2020-01-07,002837,3.64,3.67,3.7,3.62,23854,42803841.0,2.19,0.55,0.02,1.57
2020-01-08,002837,3.64,3.73,3.81,3.64,44399,81637819.0,4.63,1.63,0.06,2.92
2020-01-09,002837,3.77,3.93,4.12,3.71,73349,139079219.0,10.99,5.36,0.2,4.82
2020-01-10,002837,3.95,3.9,3.98,3.78,56169,106348308.0,5.09,-0.76,-0.03,3.69
2020-01-13,002837,3.95,4.34,4.34,3.92,134803,271612768.0,10.77,11.28,0.44,8.85
2020-01-14,002837,4.79,4.83,4.83,4.62,86288,196294124.0,4.84,11.29,0.49,5.67
2020-01-15,002837,5.13,5.37,5.37,4.99,234197,575042176.0,7.87,11.18,0.54,15.38
2020-01-16,002837,5.55,5.96,5.96,5.55,133054,361894640.0,7.64,10.99,0.59,8.74
2020-01-17,002837,6.23,6.61,6.61,5.93,288679,843156528.0,11.41,10.91,0.65,18.96
2020-01-20,002837,6.56,6.99,7.3,6.21,295167,929043328.0,16.49,5.75,0.38,19.39
2020-01-21,002837,6.98,6.67,7.6,6.6,294170,955157440.0,14.31,-4.58,-0.32,19.32
2020-01-22,002837,5.95,5.96,6.45,5.95,267153,759486048.0,7.5,-10.64,-0.71,17.55
2020-01-23,002837,6.33,6.2,6.56,6.02,226917,667003104.0,9.06,4.03,0.24,14.9
2020-02-03,002837,5.53,5.53,5.53,5.53,5443,14146357.0,0.0,-10.81,-0.67,0.36
2020-02-04,002837,4.98,5.67,5.82,4.98,222263,574450736.0,15.19,2.53,0.14,14.6
2020-02-05,002837,5.57,5.66,6.01,5.49,222642,597389392.0,9.17,-0.18,-0.01,14.62
2020-02-06,002837,5.37,6.09,6.27,5.37,269620,739717808.0,15.9,7.6,0.43,17.71
2020-02-07,002837,6.0,6.36,6.55,5.99,211873,620800240.0,9.2,4.43,0.27,13.92
2020-02-10,002837,6.66,6.04,6.66,5.86,168848,483987248.0,12.58,-5.03,-0.32,11.09
2020-02-11,002837,5.93,5.77,6.19,5.72,129239,358901184.0,7.78,-4.47,-0.27,8.49
2020-02-12,002837,5.83,6.1,6.15,5.68,119268,332691904.0,8.15,5.72,0.33,7.83
2020-02-13,002837,6.04,5.81,6.3,5.8,107628,300353664.0,8.2,-4.75,-0.29,7.07
2020-02-14,002837,5.88,5.74,5.99,5.63,87969,238528908.0,6.2,-1.2,-0.07,5.78
2020-02-17,002837,5.88,6.37,6.37,5.88,112753,326790000.0,8.54,10.98,0.63,7.41
2020-02-18,002837,7.06,7.06,7.06,6.93,74680,242924538.0,2.04,10.83,0.69,4.91
2020-02-19,002837,7.4,7.82,7.82,7.06,169755,585244624.0,10.76,10.76,0.76,11.15
2020-02-20,002837,8.1,8.65,8.65,8.08,108599,420080640.0,7.29,10.61,0.83,7.13
2020-02-21,002837,9.05,8.79,9.47,7.86,203869,802468224.0,18.61,1.62,0.14,13.39
2020-02-24,002837,8.45,9.72,9.72,8.34,138800,576834992.0,15.7,10.58,0.93,9.12
2020-02-25,002837,9.5,10.75,10.75,9.19,158580,727166144.0,16.05,10.6,1.03,10.42
2020-02-26,002837,10.43,10.68,11.72,10.29,158602,783114704.0,13.3,-0.65,-0.07,10.42
2020-02-27,002837,10.55,10.69,11.32,10.11,120915,582728064.0,11.33,0.09,0.01,7.94
2020-02-28,002837,9.8,9.57,10.2,9.57,111827,489133776.0,5.89,-10.48,-1.12,7.34
2020-03-02,002837,9.62,9.96,10.37,9.15,95076,424500832.0,12.75,4.08,0.39,6.24
2020-03-03,002837,10.55,11.01,11.01,10.27,106850,521820816.0,7.43,10.54,1.05,7.02
2020-03-04,002837,10.9,10.51,11.66,10.37,120232,597203456.0,11.72,-4.54,-0.5,7.9
2020-03-05,002837,11.07,10.67,11.57,10.39,107142,529742816.0,11.23,1.52,0.16,7.04
2020-03-06,002837,10.15,10.73,10.9,9.99,75824,362637472.0,8.53,0.56,0.06,4.98
2020-03-09,002837,10.67,10.75,11.72,10.25,109008,541699424.0,13.7,0.19,0.02,7.16
2020-03-10,002837,10.64,11.53,11.6,9.73,107121,522134688.0,17.4,7.26,0.78,7.04
2020-03-11,002837,11.54,10.92,12.06,10.79,102973,527292656.0,11.01,-5.29,-0.61,6.76
2020-03-12,002837,10.32,10.13,10.85,9.87,64986,301811024.0,8.97,-7.23,-0.79,4.27
2020-03-13,002837,9.27,10.45,10.55,9.17,71081,323230416.0,13.62,3.16,0.32,4.67
2020-03-16,002837,10.76,9.96,10.78,9.76,48992,229464725.0,9.76,-4.69,-0.49,3.22
2020-03-17,002837,10.08,10.02,10.32,9.15,45559,201435622.0,11.75,0.6,0.06,2.99
2020-03-18,002837,10.14,9.52,10.64,9.5,63256,288148224.0,11.38,-4.99,-0.5,4.15
2020-03-19,002837,9.53,9.57,9.72,9.17,64047,274365504.0,5.78,0.53,0.05,4.21
2020-03-20,002837,9.85,9.31,9.85,9.15,44952,191391599.0,7.31,-2.72,-0.26,2.95
2020-03-23,002837,9.07,8.66,9.42,8.54,47151,192395814.0,9.45,-6.98,-0.65,3.1
2020-03-24,002837,9.02,8.73,9.18,8.37,46609,186204514.0,9.35,0.81,0.07,3.06
2020-03-25,002837,9.03,9.65,9.65,8.97,55872,240663122.0,7.79,10.54,0.92,3.67
2020-03-26,002837,9.77,9.22,9.93,9.06,67755,290060832.0,9.02,-4.46,-0.43,4.45
2020-03-27,002837,9.36,8.8,9.49,8.8,37278,152093122.0,7.48,-4.56,-0.42,2.45
2020-03-30,002837,8.57,7.87,8.7,7.86,85870,311815248.0,9.55,-10.57,-0.93,5.64
2020-03-31,002837,8.03,8.4,8.68,8.0,65979,253296916.0,8.64,6.73,0.53,4.33
2020-04-01,002837,8.52,8.2,8.64,8.18,47656,181811894.0,5.48,-2.38,-0.2,3.13
2020-04-02,002837,8.38,8.77,8.92,8.14,62064,240747051.0,9.51,6.95,0.57,4.08
2020-04-03,002837,8.87,8.41,8.88,8.34,44929,175092414.0,6.16,-4.1,-0.36,2.95
2020-04-07,002837,8.66,8.75,8.88,8.6,41572,165537171.0,3.33,4.04,0.34,2.73
2020-04-08,002837,8.62,8.68,8.98,8.59,33660,133819052.0,4.46,-0.8,-0.07,2.21
2020-04-09,002837,8.81,8.88,8.91,8.62,32162,128721262.0,3.34,2.3,0.2,2.11
2020-04-10,002837,8.77,8.43,8.88,8.21,35182,135967314.0,7.55,-5.07,-0.45,2.31
2020-04-13,002837,8.37,8.21,8.43,8.02,23310,87501733.0,4.86,-2.61,-0.22,1.53
2020-04-14,002837,8.33,8.57,8.61,8.24,26418,101954236.0,4.51,4.38,0.36,1.74
2020-04-15,002837,8.79,8.48,9.06,8.45,47385,187526537.0,7.12,-1.05,-0.09,3.11
