date,open,high,low,close,volume,amount,turnover_pct,chg_pct,ma5,ma20,ema12,ema26,diff,dea,macd,rsi14,bb_upper,bb_mid,bb_lower,bb_width
2020-01-02,3.8617572,3.9312778,3.8393312,3.913337,2316197,40303849.03,1.1377,1.69,,,3.913337,3.913337,0.0,0.0,0.0,,,,,
2020-01-03,3.9110944,3.9851002,3.902124,3.9738872,2385012,41943687.08,1.1715,1.5473,,,3.9226524153846154,3.9178222,0.0048,0.001,0.0077,,,,,
2020-01-06,3.9447334,4.081532,3.913337,4.0277096,3774754,67535847.69,1.8541,1.3544,,,3.9388150591715974,3.9259620074074073,0.0129,0.0033,0.019,,,,,
2020-01-07,4.0164966,4.0680764,3.991828,4.0434078,2385427,42803841.23,1.1717,0.3898,,,3.954906250068275,3.9346616957475993,0.0202,0.0067,0.027,,,,,
2020-01-08,4.014254,4.182449,4.014254,4.0972302,4439871,81637819.88,2.1808,1.3311,4.01111436,,3.9768022423654634,3.946703807173703,0.0301,0.0114,0.0374,,,,,
2020-01-09,4.137597,4.4717444,4.081532,4.2923364,7334901,139079219.7,3.6027,4.7619,4.0869142400000005,,4.025345958924623,3.9723062214571323,0.053,0.0197,0.0666,,,,,
2020-01-10,4.317005,4.3371884,4.1532952,4.2631826,5616947,106348308.66,2.7589,-0.6792,4.1447733200000005,,4.061936211397758,3.9938526198677153,0.0681,0.0294,0.0774,96.74,,,,
2020-01-13,4.317005,4.6892766,4.2856086,4.6892766,13480252,271612770.25,6.6212,9.9947,4.27708672,,4.158450117336565,4.045365507284922,0.1131,0.0461,0.1339,97.85,,,,
2020-01-14,5.1198558,5.15798,4.9516608,5.15798,8628825,196294124.33,4.2383,9.9952,4.50000116,,4.312223945438632,4.127781395634187,0.1844,0.0738,0.2213,98.46,,,,
2020-01-15,5.449518,5.673778,5.3104768,5.673778,23419696,575042179.08,11.5032,10.0,4.815310720000001,,4.521693799986535,4.242299662624247,0.2794,0.1149,0.329,98.85,,,,
2020-01-16,5.853186,6.2411558,5.853186,6.2411558,13305404,361894634.06,6.5353,10.0,5.2050746000000006,,4.786226415373222,4.390363080207636,0.3959,0.1711,0.4495,99.12,,,,
2020-01-17,6.50354,6.8645986,6.2164872,6.8645986,28867892,843156526.37,14.1792,9.9892,5.7253578,,5.10597598223888,4.57363978537744,0.5323,0.2434,0.578,99.31,,,,
2020-01-20,6.817504,7.535136,6.4855992,7.2346276,29516687,929043325.73,14.4978,5.3904,6.234428,,5.433460846509822,4.770749993868001,0.6627,0.3272,0.671,99.39,,,,
2020-01-21,7.2256572,7.8221888,6.862356,6.929634,29417001,955157442.63,14.4489,-4.2157,6.588758799999999,,5.663641331662157,4.930667327655556,0.733,0.4084,0.6492,89.78,,,,
2020-01-22,6.2366706,6.7098592,6.2366706,6.2411558,26715311,759486047.4,13.1219,-9.9353,6.70223436,,5.752489711406441,5.027740547829218,0.7247,0.4716,0.5062,72.69,,,,
2020-01-23,6.5954866,6.817504,6.3039486,6.4766288,22691728,667003103.54,11.1456,3.7729,6.74932896,,5.86389572503622,5.135065603545573,0.7288,0.5231,0.4115,74.48,,,,
2020-02-03,5.8285174,5.8285174,5.8285174,5.8285174,544300,14146357.0,0.2673,-10.0069,6.54211272,,5.858452905799878,5.186432403282938,0.672,0.5529,0.2383,62.36,,,,
2020-02-04,5.303749,6.1065998,5.303749,5.965316,22226284,574450730.44,10.917,2.3471,6.2882504,,5.874893381830667,5.244127484521238,0.6308,0.5685,0.1246,63.7,,,,
2020-02-05,5.864399,6.2882504,5.7903932,5.9563456,22264168,597389398.22,10.9356,-0.1504,6.093592719999999,,5.887424492318257,5.29688438196411,0.5905,0.5729,0.0353,63.54,,,,
2020-02-06,5.6782632,6.5439068,5.6782632,6.368984,26961994,739717801.77,13.243,6.9277,6.11915836,5.4119544500000005,5.96151057042314,5.376299168485287,0.5852,0.5753,0.0197,67.58,7.6479,5.412,3.1761,0.8263
2020-02-07,6.2860078,6.8130188,6.2747948,6.626883,21187305,620800235.16,10.4067,4.0493,6.1492092,5.54763175,6.063875559588811,5.468935007856748,0.5949,0.5793,0.0314,69.83,7.732,5.5476,3.3632,0.7875
2020-02-10,6.9206636,6.9206636,6.1469666,6.3174042,16884842,483987246.48,8.2934,-4.67,6.24698656,5.6648076,6.102879965805918,5.531784577645137,0.5711,0.5776,-0.0131,64.09,7.7481,5.6648,3.5816,0.7355
2020-02-11,6.2164872,6.4654158,6.0168958,6.0617478,12923852,358901186.12,6.3479,-4.0469,6.2662729200000005,5.766509510000001,6.0965519402973145,5.571041112634386,0.5255,0.5672,-0.0834,59.72,7.7143,5.7665,3.8187,0.6756
2020-02-12,6.1178128,6.4272916,5.9787716,6.3757118,11926817,332691896.47,5.8581,5.1794,6.35014616,5.88312471,6.139499611020804,5.630646348735543,0.5089,0.5555,-0.0934,63.05,7.6776,5.8831,4.0887,0.61
2020-02-13,6.324132,6.5663328,6.0931442,6.1021146,10762794,300353668.7,5.2864,-4.2912,6.296772280000001,5.98336893,6.133748070863757,5.6655699229032805,0.4682,0.5381,-0.1398,58.51,7.5807,5.9834,4.386,0.5339
2020-02-14,6.1626648,6.2747948,5.9249492,6.0303514,8796851,238528908.0,4.3208,-1.176,6.177465960000001,6.07026968,6.1178408907308715,5.692590773058592,0.4253,0.5155,-0.1805,57.34,7.4667,6.0703,4.6739,0.4601
2020-02-17,6.16715,6.6336108,6.16715,6.6336108,11275341,326789998.62,5.5382,10.0037,6.24070728,6.1887910900000005,6.197190107541506,5.762295960239437,0.4349,0.4994,-0.129,63.86,7.3307,6.1888,5.0468,0.369
2020-02-18,7.2974204,7.2974204,7.17632,7.2974204,7468035,242924538.92,3.6681,10.0068,6.4878418,6.31919828,6.3664563063812745,5.876008881703182,0.4904,0.4976,-0.0143,69.41,7.3351,6.3192,5.3033,0.3215
2020-02-19,7.62484,8.0262654,7.2974204,8.0262654,16975520,585244630.93,8.3379,9.9877,6.81795252,6.46261255,6.621811551553386,6.0352871423177605,0.5865,0.5154,0.1423,74.1,7.5864,6.4626,5.3388,0.3478
2020-02-20,8.29762,8.8291162,8.2774366,8.8291162,10859937,420080636.7,5.3341,10.0028,7.363352839999999,6.62037946,6.961396882083634,6.2422374428868155,0.7192,0.5561,0.326,78.09,8.0898,6.6204,5.151,0.4439
2020-02-21,9.2148434,9.6162688,8.07336,8.959187,20386895,802468231.15,10.0135,1.4732,7.949119959999999,6.75628102,7.268749207916922,6.443492965635941,0.8253,0.61,0.4306,78.67,8.5312,6.7563,4.9813,0.5254
2020-02-24,8.6362526,9.856227,8.5286078,9.856227,13880039,576834991.65,6.8175,10.0125,8.593643199999999,6.90586244,7.666822714391241,6.696288079292538,0.9705,0.6821,0.5769,82.14,9.1376,6.9059,4.6742,0.6463
2020-02-25,9.64318,10.842971,9.3493994,10.842971,15857980,727166137.45,7.789,10.0114,9.302753319999999,7.08627961,8.155460912177205,7.003449777122721,1.152,0.7761,0.7519,85.02,9.9021,7.0863,4.2705,0.7947
2020-02-26,10.54022,11.77365,10.4011788,10.7801782,15860242,783114710.76,7.7901,-0.5791,9.853535879999999,7.27880682,8.55926357184225,7.283207438076593,1.2761,0.8761,0.8,84.09,10.5199,7.2788,4.0377,0.8906
2020-02-27,10.65235,11.392408,10.2329838,10.786906,12091481,582728056.6,5.939,0.0624,10.245093840000001,7.506094329999999,8.901977791558826,7.542740664885734,1.3592,0.9727,0.7731,84.11,11.0478,7.5061,3.9643,0.9437
2020-02-28,9.9302328,10.31596,9.7082154,9.7082154,11182656,489133768.23,5.4926,-10.0,10.394899520000001,7.66767366,9.026014346703622,7.703146200820124,1.3229,1.0427,0.5603,69.06,11.3005,7.6677,4.0348,0.9476
2020-03-02,9.75531,10.4796698,9.30679,10.0827296,9507568,424500826.19,4.6699,3.8577,10.44020004,7.88038427,9.188585924133834,7.879411637796411,1.3092,1.096,0.4263,71.0,11.5555,7.8804,4.2053,0.9327
2020-03-03,10.6501074,11.0918996,10.383238,11.0918996,10685048,521820823.77,5.2482,10.0089,10.48998576,8.136713449999998,9.481403412728628,8.117373709070751,1.364,1.1496,0.4288,75.47,11.9542,8.1367,4.3193,0.9383
2020-03-04,10.98874,11.717585,10.4774272,10.6119832,12023205,597203456.42,5.9055,-4.3267,10.456346759999999,8.369495330000001,9.655338764616532,8.302159597287732,1.3532,1.1903,0.3257,69.95,12.1945,8.3695,4.5445,0.914
2020-03-05,11.156935,11.6346088,10.4976106,10.7667226,10714160,529742811.77,5.2625,1.4582,10.45231008,8.589382259999999,9.826320893137066,8.484719819710863,1.3416,1.2206,0.242,70.69,12.4347,8.5894,4.7441,0.8954
